student_code,ielts
3141112,8.72593196775114
3141113,8.144125638002848
3141114,6.419268320085097
3141115,5.458810696153897
3141116,9.303160917043153
3141117,8.075198262924884
3141118,7.168100045567442
3141119,7.049230592690257
3141120,7.0175295460738285
3141121,6.611315366789601
3141122,5.8881791371693994
3141123,7.106291913119548
3141124,5.76329178236657
3141125,5.361738014965223
3141126,6.718806207010328
3141127,5.59236622518583
3141128,8.651318943068162
3141129,6.635959154078426
3141130,7.985261680370271
3141131,6.604707449686812
3141132,7.769780150448937
3141133,7.146012989531989
3141134,5.577884337272925
3141135,6.644199264148135
3141136,6.853297635731404
3141137,6.533397307525093
3141138,7.232604257492651
3141139,7.743006598282815
3141140,4.657703312847305
3141141,7.154497487884535
3141142,6.537070689747758
3141143,5.4234203864149
3141144,7.208421863461411
3141145,8.348444616899968
3141146,7.248564171064899
3141147,5.838212860619334
3141148,5.818984892538973
3141149,6.481052645946185
3141150,5.139748410269869
3141151,4.356752590750677
3141152,9.736904254037514
3141153,7.734456701474854
3141154,8.154938952735844
3141155,6.243231216532808
3141156,8.58104015710207
3141157,5.939582552864295
3141158,8.700290079353637
3141159,6.387048243023857
3141160,7.360596007273463
3141161,5.987149346112892
3141162,6.4508723476899705
3141163,6.494880044833675
3141164,8.447808940214946
3141165,7.257518870862503
3141166,9.109262215832228
3141167,6.977271236599524
3141168,7.9845540161871735
3141169,7.559169130592532
3141170,7.885228406285486
3141171,6.327686534040259
3141172,6.7557418505232905
3141173,6.994751546852323
3141174,5.95158289938487
3141175,5.165071602103085
3141176,7.159419821959559
3141177,8.106328669009228
3141178,7.947468534377151
3141179,5.451116012982485
3141180,7.90878104568948
3141181,5.874039703626212
3141182,7.2094757112305015
3141183,6.079553103410153
3141184,6.855059784482311
3141185,7.32428459531856
3141186,6.964353284281997
3141187,7.570700129903166
3141188,5.415921729704831
3141189,7.618142986397645
3141190,8.76170830468293
3141191,5.300575929937808
3141192,6.212569295081862
3141193,6.856309497364309
3141194,7.1147945034165865
3141195,5.937851613857949
3141196,7.491733614450475
3141197,9.350529245221981
3141198,7.511330860498189
3141199,7.064480057119503
3141200,6.668599453188166
3141201,6.443732071093556
3141202,7.012803444170852
3141203,6.420663825939017
3141204,6.098215773612368
3141205,5.7107446902601415
3141206,6.944535832818891
3141207,6.635412498711882
3141208,6.728642201361457
3141209,5.635284143627606
3141210,6.8910099240225415
3141211,7.476392813941157
3141212,8.083184210359228
3141213,8.0915539824359
3141214,7.040290180682041
3141215,7.242689213995366
3141216,6.49848859796307
3141217,7.79123804488705
3141218,7.26412501125293
3141219,5.354300818087637
3141220,7.235570774567255
3141221,6.0546001223815935
3141222,8.52869850063153
3141223,7.716681907876225
3141224,5.38760578906318
3141225,5.412966549549926
3141226,8.031819755350279
3141227,6.7620118764885175
3141228,7.0280919972647355
3141229,6.868072120755485
3141230,6.816616637873702
3141231,7.166166182535115
3141232,8.04057237619988
3141233,6.9316130207618425
3141234,7.3268984759148585
3141235,8.176617753951433
3141236,8.111586714630475
3141237,5.750096300435169
3141238,6.144406141481878
3141239,6.618045860853589
3141240,6.672613995695808
3141241,6.514131568247113
3141242,8.050010892028649
3141243,7.642074203212118
3141244,6.794018692295691
3141245,7.240311295707571
3141246,7.248513507312558
3141247,7.543861243162907
3141248,8.307109545509178
3141249,5.18580555866815
3141250,6.772511648960518
3141251,7.0239179333106065
3141252,7.986443583195554
3141253,7.139109441094117
3141254,6.6683718148821995
3141255,7.644376080566799
3141256,7.372317794440642
3141257,6.15340214300572
3141258,6.761589409346363
3141259,6.586303560491164
3141260,8.877283087098936
3141261,6.6386643317675
3141262,6.961539089649603
3141263,7.021060443510887
