weight_before,weight_after
65.12602421126846,69.57901439930811
67.08193142780168,70.14200256741637
72.38031363863293,67.4829582855458
63.59207654894032,64.89013326525767
57.33341392100917,70.4308855274044
62.30893322806022,68.76920444652825
56.888870202029054,64.49742082247988
71.06329010641657,72.7465421561797
61.332852818647005,66.63407579333705
72.116762971116,74.84942377577474
70.36462834595115,70.62716637647641
56.95233956444721,72.700809181955
76.45857308784177,71.37594493233662
57.282287048685475,68.28590225759005
72.8327122571671,70.91061547985207
65.4243476933129,69.75466340450635
74.20809587318912,67.07888634445432
70.32663056042672,70.63053484059891
75.0652884719944,67.21006676002351
70.07899261007506,74.0899828853948
67.04309846816184,71.2310426070903
61.1552227240407,73.17943069213186
62.60709935357413,76.47806520287541
58.47584279816078,70.52482839087634
75.68357626058435,72.16907158923878
69.52799239605298,80.69857193489085
68.6111435909992,77.04212220068898
72.94055008956522,69.03491581140489
75.76891978542248,72.25782979758866
67.20407894641403,73.15098570637733
67.3525756008445,67.78099849925323
66.21209240709496,73.79113972566161
79.96215583365976,57.230157892073464
72.13125905445821,72.92075805008595
66.60754665543625,73.72382901830264
55.99375653473969,65.28018872386716
73.16427979957498,70.86734421165531
73.1252968276232,62.94963221409768
71.56931470919704,64.5171475605222
72.09689043935,67.40924721685275
69.2202348619492,78.27652801751775
71.6685801475031,67.00922097008348
67.40492300122887,69.77449049572456
69.20430198374228,76.47403853453575
65.04361578954693,82.55812262496926
73.47905045377875,78.28478624262151
74.06410888083582,65.86982389325911
69.32263116745932,71.70523686066541
76.57193179227492,67.35344243207902
66.03284887138344,76.34698888113013
61.66766367544439,66.31131410960953
63.87496158117341,71.34645688536031
72.73926189217352,75.7174843953961
63.84164652860364,64.73326548667296
71.08408147096816,82.83116127203158
68.73222559134601,74.90452663784646
73.18025901341092,62.038357556074445
69.65954372635397,73.93072820176623
65.18240603250484,63.78285616043382
69.75960773742848,80.2631304798388
64.4596814666041,64.4139803612422
65.22313122122712,84.9233566223034
70.65583316078076,71.82495620328383
62.64047883433884,71.63651013331929
85.05659118463463,69.33767906339232
73.09013760997061,70.29058249575095
73.6392225884329,64.91843635588943
70.47156964720315,75.77985930793443
73.99063802802971,69.53225508561111
72.36169730054637,77.24015116224655
72.32462227880106,75.98288133132642
72.61556757197404,68.00330892540532
68.58652791348848,67.2064685546003
66.59190372412561,79.59927856877123
68.5126105721108,70.39433750137616
79.48701540880512,72.97382363288217
72.88193974587357,70.48368033764267
71.49469148837983,69.78583651202086
64.79571053274779,71.69620912398314
63.98850811743051,65.23208948907703
67.60762886913258,71.96238866382434
59.112751889813026,70.68563905157312
54.86143743943768,70.94007050261175
75.56720535399874,73.41558141853967
