tree_number,oranges
1223,305.47079557346103
1224,208.3572235937489
1225,318.1459872240697
1226,274.53114552686606
1227,245.62747448960454
1228,264.7201528628427
1229,230.8193097416547
1230,378.8699327874814
1231,219.77884685300063
1232,280.39830518891694
1233,342.07002258866964
1234,233.81742501406256
1235,165.6474976219759
1236,211.80229209557262
1237,259.46237313863884
1238,402.0540639145996
1239,312.9248284245606
1240,401.06401790955374
1241,280.43439502412804
1242,196.39577616238367
1243,215.48293116830266
1244,279.470482206883
1245,354.4852296047499
1246,196.0366939292671
1247,281.5599165670204
1248,295.9809823682258
1249,267.40482165021825
1250,305.0095947539531
1251,220.27187379966722
1252,227.06645863246106
1253,231.23244444655296
1254,281.5423191201508
1255,221.55921379665793
1256,312.3454818049026
1257,302.71264287114116
1258,285.42446663385664
1259,137.0231446650377
1260,309.2882285685689
1261,324.8537515810028
1262,213.3206486543533
1263,292.36118784582175
1264,278.9214151638059
1265,340.2744701156941
1266,312.079787208268
1267,342.0746170312057
1268,236.03787816736605
1269,290.36351945655224
1270,390.20390251438675
1271,317.26080201882075
1272,306.0907491601693
1273,244.18583609695028
1274,370.1516636907212
1275,225.82306653425235
1276,321.4393301690002
1277,317.8596448557559
1278,268.9014852394956
1279,297.8212140706498
1280,333.35623198398616
1281,307.00419632744536
1282,277.02099860255106
1283,287.69749440999016
1284,229.9387012572094
1285,227.4031629609495
1286,269.8546367355992
1287,234.2656335070276
1288,243.34903769318268
1289,282.0105443733723
1290,273.59447331423445
1291,241.80496143515944
1292,345.09219388967136
1293,290.110034592917
1294,228.87427955543578
1295,282.8768099526589
1296,259.84215231956347
1297,252.8718372050982
1298,199.01020609707552
1299,286.4929629386398
1300,282.08944965190915
1301,313.00411435450803
1302,312.8133631650114
1303,246.0603527953839
1304,337.0782866399826
1305,234.57767140266753
1306,201.47575440781935
1307,359.4180875553591
1308,296.01154003987995
1309,300.11989665480905
1310,301.0498005728171
1311,205.8971933043062
1312,251.4283082841291
1313,285.22892368682403
1314,353.32093302196665
1315,270.7736128716644
1316,434.02571407903815
1317,323.15288689157313
1318,270.2734198250681
1319,308.83054979267183
1320,308.93275220476573
1321,237.69611151800666
1322,274.87016398605493
1323,266.1500180156888
1324,299.2617397693859
1325,270.3978732957618
1326,271.7024114111022
1327,283.54727541714635
1328,219.23650262160658
1329,234.72174615495928
1330,361.166486580603
1331,259.8218690589985
1332,270.40731613660154
1333,238.70809511084545
1334,237.93829782377517
1335,340.2801856329134
1336,268.1489239144082
1337,314.02922302265046
1338,236.95147608072074
1339,323.39066734299786
1340,286.02491352745903
1341,178.36726904904114
1342,334.45923641259327
1343,294.58965032650093
1344,193.3580582380577
1345,228.12449589961247
1346,271.3349321684882
1347,317.91909052036846
1348,245.62698649185995
1349,330.0125502198772
1350,231.17221767565238
1351,334.0970920334922
1352,241.31840667582577
1353,282.7394784049106
1354,249.86487940350207
1355,232.640221264664
